,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0,48,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
1,17,?,11th,7,Never-married,?,Own-child,White,Female,0,0,16,United-States,<=50K
2,21,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,56,United-States,<=50K
3,31,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,OTHER,>50K
4,21,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
5,43,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,36,United-States,<=50K
6,61,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1958,40,United-States,>50K
7,33,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
8,50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
9,30,?,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,8442,0,40,United-States,>50K
10,57,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,2179,0,40,United-States,<=50K
11,47,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,8042,0,60,United-States,>50K
12,27,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,36,United-States,<=50K
13,55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,1973,40,United-States,<=50K
14,21,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1891,40,United-States,>50K
15,47,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,24,United-States,<=50K
16,52,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,1593,40,United-States,<=50K
17,55,Local-gov,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
18,59,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1980,65,OTHER,>50K
19,33,Private,Some-college,10,Married-civ-spouse,OTHER,Wife,White,Female,0,0,36,?,<=50K
20,35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
21,20,Private,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,38,United-States,<=50K
22,73,?,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,2499,0,6,United-States,<=50K
23,48,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K
24,29,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
