,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0,28,?,HS-grad,9,Never-married,?,Other-relative,Asian-Pac-Islander,Male,0,0,45,OTHER,<=50K
1,35,Private,7th-8th,4,Never-married,Other-service,Unmarried,White,Female,0,0,25,United-States,<=50K
2,37,Federal-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,OTHER,<=50K
3,41,Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
4,54,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,19,United-States,<=50K
5,32,Private,11th,5,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
6,35,Self-emp-not-inc,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
7,31,Self-emp-inc,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,<=50K
8,55,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,48,United-States,<=50K
9,31,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
10,66,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1585,54,United-States,<=50K
11,23,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,40,United-States,<=50K
12,54,Private,10th,6,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
13,22,Private,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
14,39,Private,Assoc-voc,11,Never-married,Other-service,Other-relative,White,Male,0,0,50,United-States,<=50K
15,42,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K
16,45,Private,OTHER,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
17,37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,7405,0,40,United-States,>50K
18,17,Private,11th,7,Never-married,Other-service,Own-child,Black,Female,0,0,16,United-States,<=50K
19,37,Private,Some-college,10,Never-married,Other-service,Unmarried,White,Male,0,0,35,United-States,<=50K
20,25,Private,7th-8th,4,Never-married,Sales,Not-in-family,White,Female,0,0,36,United-States,<=50K
21,23,Private,11th,7,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
22,55,Self-emp-not-inc,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,16,United-States,<=50K
23,41,Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,>50K
24,65,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,70,United-States,<=50K
