import time: self [us] | cumulative | imported package
import time:       117 |        117 | zipimport
import time:       574 |        574 | _frozen_importlib_external
import time:        67 |         67 |     _codecs
import time:       511 |        578 |   codecs
import time:       422 |        422 |   encodings.aliases
import time:       680 |       1679 | encodings
import time:       232 |        232 | encodings.utf_8
import time:       148 |        148 | _signal
import time:       323 |        323 | encodings.latin_1
import time:        56 |         56 |     _abc
import time:       295 |        351 |   abc
import time:       320 |        670 | io
import time:        93 |         93 |   _locale
import time:       180 |        272 | _bootlocale
import time:        82 |         82 |       _stat
import time:       325 |        406 |     stat
import time:      1135 |       1135 |     _collections_abc
import time:       166 |        166 |       genericpath
import time:       261 |        426 |     posixpath
import time:       623 |       2589 |   os
import time:       215 |        215 |   _sitebuiltins
import time:       551 |        551 |   _virtualenv
import time:       412 |        412 |   _distutils_hack
import time:       277 |        277 |   types
import time:       288 |        288 |       warnings
import time:       215 |        503 |     importlib
import time:       167 |        167 |       importlib.machinery
import time:       648 |        815 |     importlib.abc
import time:        97 |         97 |           _operator
import time:       360 |        457 |         operator
import time:       193 |        193 |         keyword
import time:       181 |        181 |           _heapq
import time:       248 |        428 |         heapq
import time:       171 |        171 |         itertools
import time:       221 |        221 |         reprlib
import time:        96 |         96 |         _collections
import time:      1341 |       2905 |       collections
import time:        76 |         76 |         _functools
import time:       634 |        709 |       functools
import time:       564 |       4178 |     contextlib
import time:       414 |       5908 |   importlib.util
import time:       160 |        160 |   sitecustomize
import time:      5985 |      16095 | site
import time:       209 |        209 |   __future__
import time:       735 |        735 |           enum
import time:        87 |         87 |             _sre
import time:       359 |        359 |               sre_constants
import time:       434 |        793 |             sre_parse
import time:       426 |       1305 |           sre_compile
import time:       263 |        263 |           copyreg
import time:       637 |       2938 |         re
import time:       248 |        248 |             _weakrefset
import time:       465 |        713 |           weakref
import time:       106 |        106 |               org
import time:        30 |        136 |             org.python
import time:        31 |        166 |           org.python.core
import time:       294 |       1172 |         copy
import time:       182 |        182 |               _opcode
import time:       331 |        512 |             opcode
import time:       554 |       1066 |           dis
import time:       247 |        247 |           collections.abc
import time:       215 |        215 |               token
import time:      1005 |       1220 |             tokenize
import time:       206 |       1426 |           linecache
import time:      1773 |       4511 |         inspect
import time:       779 |       9399 |       dataclasses
import time:      1649 |       1649 |       typing
import time:       279 |        279 |           numpy._globals
import time:       256 |        256 |           numpy.__config__
import time:       203 |        203 |                   _json
import time:       503 |        705 |                 json.scanner
import time:       549 |       1254 |               json.decoder
import time:       565 |        565 |               json.encoder
import time:       272 |       2090 |             json
import time:       176 |       2266 |           numpy._version
import time:       139 |        139 |           numpy._distributor_init
import time:       154 |        154 |             numpy.version
import time:      1871 |       1871 |                 textwrap
import time:       238 |        238 |                     time
import time:       514 |        514 |                     math
import time:       620 |        620 |                     _datetime
import time:      2448 |       3818 |                   datetime
import time:      7113 |      10931 |                 numpy.core._multiarray_umath
import time:       456 |        456 |                     numpy.compat._inspect
import time:       388 |        388 |                         fnmatch
import time:       248 |        248 |                           nt
import time:       220 |        220 |                           nt
import time:       214 |        214 |                           nt
import time:       970 |       1651 |                         ntpath
import time:       187 |        187 |                         errno
import time:       346 |        346 |                           urllib
import time:      2383 |       2729 |                         urllib.parse
import time:      2155 |       7108 |                       pathlib
