contestant,time,chocolates,cumulative_chocolates,chocolates_within_100min,session_rank,delta_from_previous,time_window_chocolates_rank
hare,6,14,14,91,33,14,72
hare,25,14,28,98,33,0,67
hare,27,9,37,98,58,-5,67
hare,30,14,51,111,33,5,59
hare,32,10,61,130,50,-4,45
hare,44,12,73,154,45,2,32
hare,46,18,91,157,22,6,29
hare,71,7,98,217,71,-11,2
hare,80,13,111,198,40,6,5
hare,81,19,130,184,20,6,9
hare,89,15,145,174,30,-4,13
hare,94,9,154,194,58,-6,7
hare,95,3,157,182,79,-6,12
hare,99,18,175,164,22,15,18
hare,103,24,199,164,5,6,18
hare,104,25,224,164,1,1,18
hare,114,7,231,198,71,-18,5
hare,127,4,235,201,78,-3,3
hare,142,20,255,154,16,16,32
hare,159,13,268,100,40,-7,65
hare,163,21,289,100,13,8,65
hare,166,10,299,103,50,-11,62
hare,196,9,308,168,58,-1,15
hare,203,16,324,183,29,7,10
hare,214,10,334,149,50,-6,36
hare,220,9,343,163,58,-1,22
hare,223,14,357,163,33,5,22
hare,225,13,370,163,40,-1,22
hare,228,10,380,163,50,-3,22
hare,233,20,400,183,16,10,10
hare,238,23,423,193,7,3,8
hare,250,15,438,227,30,-8,1
hare,270,24,462,201,5,9,3
hare,281,20,482,155,16,-4,30
hare,284,10,492,135,50,-10,43
hare,296,25,517,121,1,15,52
hare,300,18,535,131,22,-7,44
hare,344,9,544,171,58,-9,14
hare,348,10,554,146,50,1,38
hare,352,14,568,128,33,4,46
hare,363,6,574,128,74,-8,46
hare,367,10,584,128,50,4,46
hare,370,22,606,128,9,12,46
hare,373,10,616,128,50,-12,46
hare,379,12,628,137,45,2,42
hare,387,12,640,151,45,0,34
hare,389,23,663,151,7,11,34
hare,429,9,672,109,58,-14,60
hare,432,14,686,97,33,5,69
hare,459,8,694,62,65,-6,76
hare,464,9,703,62,58,1,76
hare,470,22,725,84,9,13,73
hare,517,22,747,70,9,0,75
hare,549,13,760,83,40,-9,74
hare,558,5,765,97,76,-8,69
hare,565,8,773,97,65,3,69
hare,574,21,794,104,13,13,61
hare,591,14,808,122,33,-7,51
hare,603,8,816,138,65,-6,41
hare,604,6,822,159,74,-2,28
hare,616,18,840,165,22,12,16
hare,618,11,851,165,48,-7,16
hare,633,18,869,164,22,7,18
hare,643,11,880,163,48,-7,22
hare,650,18,898,163,22,7,22
hare,654,21,919,155,13,3,30
hare,665,19,938,149,20,-2,36
hare,677,20,958,120,16,1,53
hare,686,5,963,102,76,-15,63
hare,692,8,971,102,65,3,63
hare,906,13,984,50,40,5,78
hare,913,8,992,50,65,-5,78
hare,948,22,1014,140,9,14,39
hare,955,7,1021,140,71,-15,39
hare,965,15,1036,119,30,8,54
hare,979,25,1061,119,1,10,54
hare,984,25,1086,119,1,0,54
hare,987,8,1094,119,65,-17,54
hare,991,17,1111,119,28,9,54
tortoise,0,1,1,42,141,1,300
tortoise,2,1,2,49,141,0,298
tortoise,3,6,8,49,70,5,298
tortoise,7,3,11,67,112,-3,294
tortoise,11,1,12,70,141,-2,289
tortoise,15,8,20,78,41,7,277
tortoise,19,1,21,84,141,-7,274
tortoise,21,2,23,88,131,1,266
tortoise,32,1,24,94,141,-1,234
tortoise,40,7,31,99,55,6,219
tortoise,48,11,42,104,18,4,200
tortoise,51,7,49,108,55,-4,183
tortoise,55,17,66,101,1,10,208
tortoise,57,1,67,101,141,-16,208
tortoise,58,1,68,99,141,0,219
tortoise,59,1,69,99,141,0,219
tortoise,60,1,70,99,141,0,219
tortoise,62,7,77,100,55,6,217
tortoise,65,1,78,101,141,-6,208
tortoise,67,1,79,94,141,0,234
tortoise,69,5,84,94,85,4,234
tortoise,70,4,88,93,99,-1,241
tortoise,72,1,89,92,141,-3,244
tortoise,73,1,90,93,141,0,241
tortoise,77,1,91,93,141,0,241
tortoise,80,1,92,94,141,0,234
tortoise,82,2,94,95,131,1,227
tortoise,83,1,95,94,141,-1,234
tortoise,87,4,99,95,99,3,227
tortoise,93,1,100,101,141,-3,208
tortoise,95,1,101,101,141,0,208
tortoise,96,3,104,102,112,2,205
tortoise,99,2,106,91,131,-1,253
tortoise,100,3,109,91,112,1,253
tortoise,108,1,110,68,141,-2,292
tortoise,111,1,111,66,141,0,295
tortoise,112,1,112,66,141,0,295
tortoise,114,1,113,60,141,0,297
tortoise,117,1,114,68,141,0,292
tortoise,122,1,115,73,141,0,286
tortoise,123,1,116,72,141,0,287
tortoise,128,1,117,78,141,0,277
tortoise,131,1,118,77,141,0,283
tortoise,135,1,119,75,141,0,285
tortoise,141,6,125,78,70,5,277
tortoise,142,6,131,78,70,0,277
tortoise,143,1,132,78,141,-5,277
tortoise,146,1,133,96,141,0,224
tortoise,156,1,134,92,141,0,244
tortoise,158,1,135,92,141,0,244
tortoise,161,1,136,91,141,0,253
tortoise,163,1,137,89,141,0,262
tortoise,165,6,143,88,70,5,266
tortoise,167,3,146,101,112,-3,208
tortoise,168,1,147,101,141,-2,208
tortoise,169,1,148,102,141,0,205
tortoise,170,13,161,102,5,12,205
tortoise,175,8,169,105,41,-5,195
tortoise,182,1,170,110,141,-7,179
tortoise,187,3,173,114,112,2,163
tortoise,190,4,177,118,99,1,143
tortoise,194,12,189,107,10,8,187
tortoise,196,8,197,117,41,-4,148
tortoise,203,1,198,133,141,-7,76
tortoise,205,3,201,138,112,2,58
tortoise,216,12,213,132,10,9,79
tortoise,217,1,214,132,141,-11,79
tortoise,218,1,215,129,141,0,85
tortoise,219,1,216,130,141,0,84
tortoise,222,3,219,121,112,2,118
tortoise,224,1,220,123,141,-2,109
tortoise,225,1,221,123,141,0,109
tortoise,230,7,228,124,55,6,105
tortoise,234,1,229,123,141,-6,109
tortoise,235,4,233,126,99,3,94
tortoise,240,4,237,123,99,0,109
tortoise,242,1,238,120,141,-3,125
tortoise,243,1,239,120,141,0,125
tortoise,245,7,246,108,55,6,183
tortoise,246,3,249,108,112,-4,183
tortoise,248,1,250,100,141,-2,217
tortoise,250,1,251,115,141,0,158
tortoise,252,13,264,115,5,12,158
tortoise,253,2,266,121,131,-11,118
tortoise,254,4,270,120,99,2,125
tortoise,255,1,271,123,141,-3,109
tortoise,257,4,275,120,99,3,125
tortoise,269,2,277,121,131,-2,118
tortoise,271,5,282,121,85,3,118
